Image     Accelerator      Sampler      Configuration     Time        OS      Lot     Machine
buddha-fractal-kdtree-halton.pbrt  kdtree  halton kdtree-halton  207.905785477  UbuntuVM  2  MaquinaChen
teapot-metal-bvh-sobol.pbrt  bvh  sobol bvh-sobol  298.525214251  UbuntuVM  2  MaquinaChen
spotfog-kdtree-halton.pbrt  kdtree  halton kdtree-halton  259.602063330  UbuntuVM  2  MaquinaChen
buddha-fractal-bvh-sobol.pbrt  bvh  sobol bvh-sobol  151.713041764  UbuntuVM  2  MaquinaChen
bidir-kdtree-sobol.pbrt  kdtree  sobol kdtree-sobol  1017.683769297  UbuntuVM  2  MaquinaChen
bidir-kdtree-halton.pbrt  kdtree  halton kdtree-halton  1027.721749340  UbuntuVM  2  MaquinaChen
bidir-bvh-halton.pbrt  bvh  halton bvh-halton  747.684386606  UbuntuVM  2  MaquinaChen
teapot-metal-kdtree-halton.pbrt  kdtree  halton kdtree-halton  328.597603913  UbuntuVM  2  MaquinaChen
teapot-metal-bvh-sobol.pbrt  bvh  sobol bvh-sobol  297.263052024  UbuntuVM  3  MaquinaChen
bidir-bvh-halton.pbrt  bvh  halton bvh-halton  752.857503035  UbuntuVM  3  MaquinaChen
bidir-bvh-sobol.pbrt  bvh  sobol bvh-sobol  747.736652660  UbuntuVM  3  MaquinaChen
buddha-fractal-bvh-halton.pbrt  bvh  halton bvh-halton  147.833287432  UbuntuVM  3  MaquinaChen
teapot-metal-kdtree-sobol.pbrt  kdtree  sobol kdtree-sobol  295.745146862  UbuntuVM  3  MaquinaChen
buddha-fractal-bvh-sobol.pbrt  bvh  sobol bvh-sobol  150.771205749  UbuntuVM  3  MaquinaChen
bidir-kdtree-halton.pbrt  kdtree  halton kdtree-halton  1027.897995430  UbuntuVM  3  MaquinaChen
spotfog-bvh-halton.pbrt  bvh  halton bvh-halton  192.641824016  UbuntuVM  3  MaquinaChen
bidir-kdtree-sobol.pbrt  kdtree  sobol kdtree-sobol  1012.811797147  UbuntuVM  3  MaquinaChen
buddha-fractal-kdtree-halton.pbrt  kdtree  halton kdtree-halton  204.047843424  UbuntuVM  3  MaquinaChen
spotfog-kdtree-sobol.pbrt  kdtree  sobol kdtree-sobol  252.626901665  UbuntuVM  3  MaquinaChen
teapot-metal-bvh-halton.pbrt  bvh  halton bvh-halton  329.065039410  UbuntuVM  3  MaquinaChen
spotfog-kdtree-halton.pbrt  kdtree  halton kdtree-halton  258.665656056  UbuntuVM  3  MaquinaChen
buddha-fractal-kdtree-sobol.pbrt  kdtree  sobol kdtree-sobol  207.033233525  UbuntuVM  3  MaquinaChen
teapot-metal-kdtree-halton.pbrt  kdtree  halton kdtree-halton  328.884625567  UbuntuVM  3  MaquinaChen
spotfog-bvh-sobol.pbrt  bvh  sobol bvh-sobol  186.625657193  UbuntuVM  3  MaquinaChen
teapot-metal-bvh-sobol.pbrt  bvh  sobol bvh-sobol  285.402502991  WSL  3  MaquinaChen
buddha-fractal-kdtree-halton.pbrt  kdtree  halton kdtree-halton  188.869426268  WSL  3  MaquinaChen
spotfog-bvh-sobol.pbrt  bvh  sobol bvh-sobol  186.543036971  WSL  3  MaquinaChen
teapot-metal-kdtree-halton.pbrt  kdtree  halton kdtree-halton  316.427791346  WSL  3  MaquinaChen
spotfog-kdtree-sobol.pbrt  kdtree  sobol kdtree-sobol  251.551496048  WSL  3  MaquinaChen
buddha-fractal-bvh-sobol.pbrt  bvh  sobol bvh-sobol  144.671792699  WSL  3  MaquinaChen
